title,text,subject,date
Viral claim: Rahul Gandhi converts to Islam during foreign trip,A viral post circulating on social media claimed that Congress leader Rahul Gandhi had converted to Islam during a visit to a Gulf country and changed his name. The post was shared lakhs of times on WhatsApp and Facebook with edited photos. BOOM Live and AltNews debunked the claim calling it completely fabricated. The photos used were from a different event. Gandhi had simply visited a mosque as part of a cultural programme during an official visit.,Fake Politics,"March 14, 2023"
Fake news: PM Modi announces Rs 15 lakh in every Indian bank account,A widely circulated WhatsApp forward claimed that Prime Minister Narendra Modi had announced that Rs 15 lakh recovered from black money would be deposited in every Indian citizen's bank account by a specific date. The claim resurfaced multiple times over the years. The Press Information Bureau's fact-check unit clarified no such scheme was announced. The claim distorted a statement made during an election rally that was taken out of context.,Fake Politics,"July 22, 2020"
Fabricated: Mamata Banerjee resigns as West Bengal Chief Minister,A fabricated news article claiming that West Bengal Chief Minister Mamata Banerjee had resigned citing health reasons circulated widely on social media. The article used the logo of a major news channel and appeared designed to mislead readers. Fact-checkers traced the post to a website that mimics legitimate news portals. Banerjee's office issued a strong denial. The fake post appeared immediately before local body elections.,Fake Politics,"January 18, 2023"
Misleading: Video of protest falsely labelled as anti-Modi rally in America,A video of a large protest in New York City was shared on social media with claims that Indian Americans were protesting against Prime Minister Modi's visit to the United States. AltNews found the video was actually from a protest against a different political issue and had nothing to do with India or Modi's visit. The video predated Modi's US visit by several years. Several verified Twitter accounts shared the misleading claim.,Fake Politics,"June 21, 2023"
False: Electoral bonds scheme declared legal by Supreme Court,A social media post claimed that the Supreme Court of India had upheld the electoral bonds scheme and declared it fully constitutional. The post was accompanied by a doctored newspaper front page. In reality the Supreme Court had struck down the scheme as unconstitutional. The court said it violated the right to information. The Election Commission was ordered to publish donor and recipient details on its website.,Fake Politics,"February 28, 2024"
Fabricated resignation letter of Arvind Kejriwal goes viral,A fabricated resignation letter purportedly written by Delhi Chief Minister Arvind Kejriwal circulated widely on social media. The letter claimed Kejriwal was resigning from both the Chief Ministership and the party leadership citing health and personal reasons. The Aam Aadmi Party issued an urgent denial calling the letter completely forged. Delhi Police was asked to investigate the source of the fabrication.,Fake Politics,"November 09, 2022"
Fake: Video claims to show EVMs being tampered before Gujarat elections,A video circulated on social media claiming to show Electronic Voting Machines being transported secretly at night before Gujarat assembly elections was debunked by fact-checkers. The video was from a different state in a different year and had no connection to Gujarat elections. The Election Commission of India issued a statement clarifying the EVMs are sealed and guarded at all times under the supervision of government officials.,Fake Politics,"November 29, 2022"
Misleading claim that Narendra Modi has secret Swiss bank account,A blog post that went viral on social media claimed that a leaked document had revealed that Prime Minister Narendra Modi maintained a secret Swiss bank account containing hundreds of crores of rupees. Fact-checkers could not find any credible original source for the claim. The document shown in the post had tell-tale signs of forgery. The government denied the claim. The post appeared to have been coordinated to circulate before election season.,Fake Politics,"August 13, 2019"
Viral fake: Yogi Adityanath orders ban on Friday namaz in all UP parks,A fake government order purportedly issued by the Uttar Pradesh government circulated on social media claiming that Chief Minister Yogi Adityanath had banned Friday prayers in all public parks across the state. The order carried what appeared to be an official letterhead with fake signatures. The UP government issued a clarification that no such order had been issued. Fact-checkers said the letterhead was inconsistent with genuine government orders.,Fake Politics,"April 07, 2023"
Manipulated photo shows Sonia Gandhi tearing Indian Constitution,A manipulated photograph that appeared to show Congress president Sonia Gandhi tearing pages of the Indian Constitution circulated on social media triggering outrage. The original photograph was from a press conference where she was shown holding a document. Fact-checkers verified the manipulation using reverse image search. Gandhi's office condemned the spread of the morphed image and demanded action against those circulating it.,Fake Politics,"December 14, 2021"
