title,text,subject,date
Narendra Modi sworn in as Prime Minister for third consecutive term,"New Delhi (PTI) - Narendra Modi was sworn in as Prime Minister of India for the third consecutive time on June 9, 2024, at Rashtrapati Bhavan. President Droupadi Murmu administered the oath of office to Modi, who led the National Democratic Alliance to victory in the 2024 general elections. The NDA secured 293 seats in the 543-member Lok Sabha. Several Cabinet ministers were also sworn in during the ceremony. The swearing-in was attended by leaders from neighbouring countries including Bangladesh, Sri Lanka, Nepal, and the Maldives as part of India's neighbourhood-first foreign policy.",Politics,"June 09, 2024"
Parliament passes Women's Reservation Bill guaranteeing 33 percent seats,"New Delhi (PTI) - The Indian Parliament passed the Constitution (One Hundred and Twenty-Eighth Amendment) Bill, 2023, commonly known as the Women's Reservation Bill, which reserves 33 percent of seats in the Lok Sabha and state legislative assemblies for women. The Rajya Sabha passed the bill with 214 votes in favour and no opposition. Prime Minister Narendra Modi called it a historic moment for Indian democracy. The law will come into effect after the next delimitation exercise.",Politics,"September 21, 2023"
Congress wins Karnataka assembly elections securing 135 seats,"Bengaluru (PTI) - The Indian National Congress won a decisive majority in the Karnataka assembly elections, securing 135 seats in the 224-member assembly, according to the Election Commission of India. The Bharatiya Janata Party was reduced to 66 seats while the Janata Dal (Secular) won 19 seats. Congress leader Siddaramaiah was later sworn in as Chief Minister. The results marked a significant setback for the BJP which had governed the state.",Politics,"May 13, 2023"
Arvind Kejriwal arrested by Enforcement Directorate in Delhi liquor policy case,New Delhi (PTI) - Delhi Chief Minister Arvind Kejriwal was arrested by the Enforcement Directorate on Thursday in connection with the alleged Delhi excise policy scam. This made Kejriwal the first sitting Chief Minister to be arrested in India. The ED alleged that proceeds of crime were used to fund election campaigns. The Aam Aadmi Party called the arrest politically motivated. The Delhi High Court later examined his custody conditions.,Politics,"March 21, 2024"
BJP wins Uttar Pradesh assembly elections with massive majority,"Lucknow (PTI) - The Bharatiya Janata Party won a massive majority in the Uttar Pradesh assembly elections, securing 255 seats out of 403. The Samajwadi Party won 111 seats. Yogi Adityanath was sworn in as Chief Minister for the second term. The election result was seen as a significant endorsement of the BJP's governance in the state and a strong indicator ahead of the 2024 general elections.",Politics,"March 10, 2022"
"India elects Droupadi Murmu as 15th President, first tribal woman to hold office","New Delhi (PTI) - Droupadi Murmu was elected as the 15th President of India, becoming the first tribal woman and the second woman to hold the country's highest constitutional office. She defeated opposition candidate Yashwant Sinha by securing 64 percent of the total valid votes. Born in a tribal family in Odisha's Mayurbhanj district, Murmu was the former Governor of Jharkhand. She was sworn in on July 25, 2022.",Politics,"July 21, 2022"
Rahul Gandhi disqualified from Lok Sabha after conviction in defamation case,"New Delhi (PTI) - Congress leader Rahul Gandhi was disqualified from the Lok Sabha after a Surat court convicted him in a 2019 criminal defamation case over his Modi surname remarks. The disqualification came into effect immediately after the conviction. Gandhi later appealed against the conviction in the Supreme Court, which stayed the conviction and restored his membership. The episode triggered a political controversy across the country.",Politics,"March 24, 2023"
Election Commission announces 2024 Lok Sabha election schedule across seven phases,"New Delhi (PTI) - The Election Commission of India announced the schedule for the 18th General Elections to be held in seven phases between April 19 and June 1, 2024. The counting of votes was scheduled for June 4, 2024. The announcement set in motion the Model Code of Conduct across the country. Over 960 million voters were eligible to participate in the elections, making it the world's largest democratic exercise.",Politics,"March 16, 2024"
AAP sweeps Delhi assembly elections winning 62 of 70 seats,"New Delhi (PTI) - The Aam Aadmi Party led by Arvind Kejriwal swept the Delhi assembly elections, winning 62 of the 70 seats. The BJP won eight seats while the Congress drew a blank for the second consecutive time. Kejriwal was sworn in as Chief Minister for the third time. The result was seen as a strong mandate for AAP's governance model focused on free electricity, water, and improvements in government schools and hospitals.",Politics,"February 11, 2020"
"TMC wins West Bengal assembly elections, Mamata Banerjee retains power","Kolkata (PTI) - The Trinamool Congress won the West Bengal assembly elections for the third consecutive time, securing 213 seats in the 294-seat assembly. The BJP, which had mounted an aggressive campaign, won 77 seats. Mamata Banerjee was sworn in as Chief Minister for the third term. The election was marked by violence in several districts and high voter turnout. The Supreme Court took note of post-poll violence in the state.",Politics,"May 02, 2021"
